,Time to maturity,Strike price,Option market price,Implied Volatility,Local Volatility,Dupire-Price
0,0.071232877,850,0.45,0.19297704575244035,0.0004302977886452129,0.0
1,0.071232877,875,0.6,0.2505049143542513,0.0004215619228869007,0.0
2,0.071232877,900,0.15,0.24338925366260783,0.00028347871356372556,0.0
12,0.071232877,475,295.75,0.7907204960172776,,
13,0.071232877,490,280.95,0.7799203788602836,,
14,0.071232877,500,271.1,0.7702824877253889,,
15,0.071232877,525,246.55,0.7413740472849699,,
16,0.071232877,530,241.65,0.7345571905564698,,
17,0.071232877,540,231.85,0.7192538559353083,,
19,0.071232877,550,222.15,0.7092918692263226,,
20,0.071232877,560,212.45,0.6963344887663079,,
21,0.071232877,575,197.95,0.6752878886438234,,
22,0.071232877,580,193.15,0.6688431884028208,,
23,0.071232877,590,183.65,0.6585723583561877,,
24,0.071232877,600,174.15,0.6453383454445111,,
25,0.071232877,605,169.45,0.6396737975788679,,
26,0.071232877,610,164.75,0.6332734747016993,,
27,0.071232877,615,160.05,0.6262051595295044,,
28,0.071232877,620,155.4,0.6201423124017061,,
29,0.071232877,625,150.75,0.6133659929217035,,
30,0.071232877,630,146.0,0.6029899713230126,,
31,0.071232877,635,141.4,0.5964928305373249,,
32,0.071232877,640,136.9,0.591978749346938,,
33,0.071232877,645,132.4,0.5865746618961258,0.007014194724039908,125.35
34,0.071232877,650,127.9,0.5803566958335012,0.004121122717109009,120.36
35,0.071232877,655,123.4,0.5733869008786142,0.00315708706408943,115.36
36,0.071232877,660,119.0,0.5679449798479121,0.002574092308071293,110.36
37,0.071232877,665,114.6,0.5616639142443506,0.002206313198283137,105.36
38,0.071232877,670,110.3,0.5566441012340968,0.0019199910347037997,100.36
39,0.071232877,675,106.0,0.550729429344525,0.0017089111848864176,95.37
40,0.071232877,680,101.8,0.5458596848111688,0.0015289138217797515,90.37
41,0.071232877,685,97.6,0.5400616872116762,0.0013860885214834983,85.37
42,0.071232877,690,93.4,0.5333911756991904,0.0012689372655782637,80.37
43,0.071232877,695,89.4,0.5292568618945189,0.0011525473870184907,75.38
44,0.071232877,700,85.3,0.5224825965685557,0.001062625601003811,70.38
45,0.071232877,705,81.4,0.5179938016110704,0.000971628171187351,65.38
46,0.071232877,710,77.5,0.5124861373710904,0.0008931357511123051,60.38
47,0.071232877,715,73.6,0.5060053991747654,0.000824212890162912,55.39
48,0.071232877,720,69.65,0.4978653863451835,0.0007650308333745754,50.39
49,0.071232877,725,65.75,0.4895455370067864,0.0007092018673665936,45.39
50,0.071232877,730,62.3,0.48648366072834165,0.0006409030138159303,40.39
51,0.071232877,735,58.65,0.4795706749396483,0.0005858149200960044,35.4
52,0.071232877,740,55.2,0.47425184982117796,0.0005278541868619072,30.4
53,0.071232877,745,51.85,0.4691010636878839,0.00047002135214063945,25.4
54,0.071232877,750,48.55,0.46343327229483144,0.0004127046946534366,20.4
55,0.071232877,755,45.45,0.4591047364802527,0.0003497513562491815,15.4
56,0.071232877,760,42.3,0.45293421584264043,0.0002856351884347064,10.41
57,0.071232877,765,39.4,0.44861799207793723,0.00020409777133860058,5.41
58,0.071232877,770,36.6,0.44424967974263607,7.030076513523111e-05,0.41
59,0.071232877,775,33.9,0.4398020999599872,,
60,0.071232877,780,31.3,0.4352497198322237,,
61,0.071232877,785,28.8,0.43056806907677375,,
62,0.071232877,790,26.65,0.4288231127039024,,
63,0.071232877,795,24.1,0.4207209500886767,,
64,0.071232877,800,22.35,0.42121712623112784,,
65,0.071232877,805,20.2,0.4152392859038812,,
66,0.071232877,810,18.05,0.40767851573890984,,
67,0.071232877,815,16.5,0.4065493966991607,,
68,0.071232877,820,14.75,0.40121810245789813,,
69,0.071232877,825,13.1,0.3956350394195476,,
70,0.071232877,830,12.0,0.39659215267927794,,
71,0.071232877,835,10.85,0.3955031516646587,,
72,0.071232877,840,9.45,0.38886725661577415,,
73,0.071232877,845,8.55,0.38890007613939276,,
74,0.071232877,850,7.1,0.3774395373571566,,
75,0.071232877,855,6.65,0.38289682710440104,,
76,0.071232877,860,5.8,0.37935401642330707,,
77,0.071232877,865,4.65,0.36710092075804496,0.0019614052493195974,0.0
78,0.071232877,870,4.15,0.36756578911783205,0.001299353882826162,0.0
79,0.071232877,875,3.55,0.3640572519055591,0.0009878051795326206,0.0
80,0.071232877,880,3.3,0.36874600125134527,0.0008805764790965658,0.0
81,0.071232877,885,2.55,0.35706932690361765,0.0007083602837925407,0.0
82,0.071232877,890,2.35,0.3610801757195397,0.0006584507318999642,0.0
83,0.071232877,895,2.025,0.3596826166475414,0.0005972856358608872,0.0
84,0.071232877,900,1.7,0.35664188642171396,0.0005425347745385415,0.0
85,0.071232877,905,1.45,0.3551326147825239,0.0005011318315896175,0.0
86,0.071232877,910,1.175,0.35055585138777573,0.00045840142695943335,0.0
87,0.071232877,915,1.0,0.3495617137840468,0.0004291174108562751,0.0
88,0.071232877,920,1.0,0.3585104653965288,0.0004229201089193779,0.0
89,0.071232877,925,0.8,0.3538186032467054,0.00039116930304400674,0.0
90,0.071232877,930,0.775,0.3604977216999262,0.0003827119999005078,0.0
91,0.071232877,935,0.775,0.36893083156667217,0.00037784985468354793,0.0
92,0.071232877,940,0.775,0.37728575944240794,0.0003731692642573324,0.0
93,0.071232877,945,0.775,0.3855645049348137,0.0003686572516925012,0.0
94,0.071232877,950,0.375,0.3540029821218466,0.00030556771345250153,0.0
95,0.071232877,955,0.775,0.40190094313631836,0.00036009358756925445,0.0
96,0.071232877,960,0.25,0.35007463347989226,0.0002742337788115518,0.0
97,0.071232877,965,0.75,0.41583842441007063,0.00034909682286361646,0.0
98,0.071232877,970,0.275,0.36860154538455103,0.0002741427680022852,0.0
99,0.071232877,975,0.2,0.36136583160565355,0.00025443700334008417,0.0
100,0.071232877,980,0.7,0.4347831681938707,0.00033226075142634435,0.0
101,0.071232877,985,0.175,0.3691516221265873,0.00024322260150316192,0.0
102,0.071232877,990,0.675,0.4476022499450734,0.0003226890382982321,0.0
103,0.071232877,995,0.675,0.4550971396958097,0.00031953014520872156,0.0
104,0.071232877,1000,0.125,0.3746968918598481,0.00022209521841962885,0.0
105,0.071232877,1005,0.65,0.46735513541497264,0.0003105983086150816,0.0
106,0.071232877,1010,0.65,0.4746501594130449,0.0003077068547439012,0.0
107,0.071232877,1015,0.225,0.42009832227864663,0.00024223561661055113,0.0
108,0.071232877,1020,0.65,0.48907721887145617,0.00030212686023237085,0.0
109,0.071232877,1025,0.05,0.3707562764748571,0.00018107070181259542,0.0
110,0.071232877,1030,0.1,0.4024061746259493,0.0002027531122814363,0.0
111,0.071232877,1035,0.075,0.3968655654589743,0.00019112267205504817,0.0
112,0.071232877,1040,0.075,0.40262039557165347,0.00018962588532099088,0.0
113,0.071232877,1045,0.1,0.4200703125872024,0.0001979935585094756,0.0
114,0.071232877,1050,0.05,0.3986577795159378,0.0001741464943287524,0.0
115,0.071232877,1055,0.05,0.4041322300875315,0.00017283649306525808,0.0
116,0.071232877,1065,0.05,0.4149846432557588,0.00017028895073842906,0.0
117,0.071232877,1070,0.05,0.4203554566750676,0.00016904369097025217,0.0
118,0.071232877,1075,0.05,0.4256947730479373,0.0001678203206251415,0.0
119,0.071232877,1090,0.05,0.4415238845360276,0.0001642718365348671,0.0
120,0.071232877,1100,0.05,0.45192160685636606,0.00016200034482784763,0.0
