"Holdings and weightings as of 5:36 PM ET 05/10/2017",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"HBI","Hanesbrands Inc","0.33%","22.15","-0.60","-2.64%","2.35 M","18.91 - 28.25",
"PVH","PVH Corp","0.32%","100.61","-2.70","-2.61%","450.36 K","82.10 - 115.40",
"TSCO","Tractor Supply Co","0.31%","60.54","-0.42","-0.68%","777.27 K","60.87 - 97.00",
"MAT","Mattel Inc","0.30%","22.34","-0.24","-1.06%","1.95 M","21.55 - 34.24",
"KSS","Kohl's Corp","0.28%","38.16","-2.16","-5.36%","11.82 M","33.87 - 59.67",
"LEG","Leggett & Platt","0.28%","52.90","-0.60","-1.12%","263.69 K","44.02 - 54.97",
"SNI","Scripps Networks Interactive A","0.26%","68.89","-0.44","-0.63%","779.56 K","58.73 - 83.42",
"PHM","Pulte Group Inc","0.25%","22.98","+0.09","+0.39%","2.23 M","17.58 - 24.43",
"SPLS","Staples Inc","0.25%","9.44","-0.28","-2.88%","1.98 M","7.24 - 10.25",
"GRMN","Garmin Ltd","0.24%","52.20","-0.42","-0.80%","180.66 K","39.24 - 56.19",
"KORS","Michael Kors Holdings Ltd","0.24%","37.19","-1.04","-2.72%","1.39 M","34.92 - 53.29",
"GPS","Gap Inc","0.23%","25.75","-0.98","-3.67%","3.77 M","17.00 - 30.74",
"BBBY","Bed Bath & Beyond Inc","0.22%","37.03","-0.63","-1.67%","1.26 M","37.01 - 48.83",
"JWN","Nordstrom Inc","0.22%","46.20","-3.81","-7.62%","5.06 M","35.01 - 62.82",
"HRB","Block H & R Inc","0.21%","26.28","-0.22","-0.83%","761.84 K","19.18 - 26.53",
"TRIP","TripAdvisor Inc. A","0.21%","46.24","-1.75","-3.65%","2.38 M","40.45 - 71.69",
"DISCK","Discovery Communications Inc C","0.21%","25.56","+0.11","+0.45%","1.31 M","22.43 - 29.18",
"NWSA","News Corp A","0.19%","12.71","0.00","0.00%","868.07 K","10.54 - 14.68",
"TGNA","TEGNA Inc","0.19%","23.15","-0.17","-0.71%","968.76 K","17.91 - 26.65",
"RL","Ralph Lauren Corp A","0.18%","79.16","-3.91","-4.71%","990.51 K","75.62 - 114.00",
"SIG","Signet Jewelers Ltd","0.17%","61.64","-1.40","-2.22%","530.22 K","62.10 - 109.42",
"DISCA","Discovery Communications Inc A","0.15%","26.16","+0.05","+0.19%","1.36 M","23.66 - 30.25",
"UAA","Under Armour Inc A","0.15%","20.72","-0.46","-2.17%","4.60 M","18.40 - 44.68",
"UA","Under Armour Inc-C","0.14%","19.30","-0.35","-1.78%","2.07 M","17.05 - 42.94",
"AN","AutoNation Inc","0.10%","39.69","-0.49","-1.22%","517.45 K","39.13 - 54.15",
"NWS","News Corp B","0.06%","13.03","-0.03","-0.19%","151.22 K","10.90 - 15.22",
